,AGNO,RBD,COD_REG_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE2,PROM_ASIS_APR_HOM,PROM_ASIS_APR_MUJ,PROM_ASIS_REP_HOM,PROM_ASIS_REP_MUJ,PROM_ASIS
59,2017,56,15,3,2,0,1,5,"95,0592592592593","94,1478873239437","90,7142857142857","85,6666666666667","94,404181184669"
60,2017,59,15,4,3,0,1,2,"91,6832298136646","92,2603550295858", , ,"91,9787878787879"
61,2017,59,15,4,3,0,1,5,"93,0941176470588","91,25",98, ,"92,3116883116883"
62,2017,60,15,3,2,0,1,2,"92,6844444444444","92,7748091603053","81,0909090909091","82,4444444444444","92,2978303747534"
63,2017,60,15,3,2,0,1,5,"93,8561151079137","93,4018691588785",94,"86,75","93,5498007968127"
64,2017,67,15,3,2,0,1,2,"88,302752293578","88,848623853211", , ,"88,5756880733945"
65,2017,67,15,3,2,0,1,5,"89,4821428571429","89,3396226415094", ,85,"89,3727272727273"
66,2017,69,15,4,3,0,1,2,"94,0881057268722","94,2716049382716", , ,"94,1829787234043"
67,2017,69,15,4,3,0,1,5,"95,4204545454545","94,981308411215",96,95,"95,1827411167513"
68,2017,70,15,2,1,1,1,2,"93,75","97,75", , ,"95,75"
69,2017,72,15,2,1,1,1,2,"91,3333333333333","94,2727272727273",93,93,"92,5"
70,2017,72,15,2,1,1,1,7,"90,75","89,25", , ,"89,75"
71,2017,73,15,2,1,1,1,2,85, , , ,85
72,2017,74,15,2,1,1,1,2,"93,5",96,51, ,"89,125"
73,2017,75,15,2,1,1,1,2,"90,5","84,6666666666667", , ,88
74,2017,76,15,2,1,1,1,2,"95,4","95,3333333333333", , ,"95,3636363636364"
75,2017,78,15,2,1,1,1,2,"91,7692307692308","92,3015873015873","85,5","85,75","91,7482993197279"
76,2017,78,15,2,1,1,1,6,"85,6",90,"80,1891891891892",60,"84,3275862068966"
77,2017,78,15,2,1,1,1,7,"91,4166666666667","94,4444444444444","85,5","83,5",92
78,2017,79,15,2,1,1,1,2,"91,8666666666667","91,3333333333333", , ,"91,6666666666667"
79,2017,81,15,2,1,1,1,2,"93,6666666666667", , , ,"93,6666666666667"
80,2017,82,15,2,1,1,1,2,91, , , ,91
81,2017,83,15,2,1,1,1,2,"86,6666666666667",89, , ,"87,8333333333333"
82,2017,84,15,2,1,1,1,2,100,100, , ,100
83,2017,86,15,2,1,1,1,2,"94,3333333333333",96, , ,"94,75"
84,2017,87,15,2,1,1,1,2,88, , , ,88
85,2017,88,15,2,1,1,1,2,96, , , ,96
86,2017,89,15,2,1,1,1,2,92, , , ,92
87,2017,90,15,2,1,1,1,2,"94,4615384615385","95,25", ,69,"93,8461538461538"
88,2017,91,15,2,1,1,1,2,"94,75",91, , ,94
89,2017,92,15,2,1,1,1,2,85,85, , ,85
90,2017,93,15,2,1,1,1,2,"93,3333333333333","95,5", , ,"94,2"
91,2017,94,15,2,1,1,1,2, , , ,94,94
92,2017,95,15,2,1,1,1,2, ,96, , ,96
93,2017,97,1,1,1,0,1,7,"87,8376068376068","87,5260115606936","79,0714285714286","71,7222222222222","86,388198757764"
94,2017,97,1,1,1,0,1,7,"85,8571428571429","86,8181818181818",68,78,"85,1"
95,2017,103,1,1,1,0,1,2,"88,1145038167939","89,1592920353982","79,25","83,5","88,5858310626703"
96,2017,103,1,1,1,0,1,5,"86,6984126984127","87,7096774193548", ,61,"86,7874015748032"
97,2017,106,1,5,4,0,1,2,"85,9375","91,0714285714286",87,97,"88,5625"
98,2017,106,1,5,4,0,1,5,"87,8829787234043","88,3333333333333","77,75",82,"86,972027972028"
99,2017,106,1,5,4,0,1,7,"89,1282051282051","84,3333333333333",67, ,"87,0606060606061"
100,2017,106,1,5,4,0,1,7,"87,7647058823529","86,8181818181818",43, ,"86,125"
101,2017,107,1,1,1,0,1,2,"86,3333333333333","82,0909090909091",46,51,77
102,2017,107,1,1,1,0,1,5,"89,1989528795812","87,3590909090909","71,1481481481482","72,125","86,6321585903084"
103,2017,108,1,1,1,0,1,7,"86,8424242424242","83,2391304347826","74,5","70,5","85,5981735159817"
104,2017,108,1,1,1,0,1,7,"85,4677419354839","81,0476190476191","68,4444444444444","54,5","81,0535714285714"
105,2017,109,1,1,1,0,1,5,"90,8461538461538","82,7222222222222","38,5",76,"85,1914893617021"
106,2017,109,1,1,1,0,1,7,90,"89,3409090909091","77,6666666666667","82,6666666666667","88,8860759493671"
107,2017,109,1,1,1,0,1,7,"93,4285714285714","94,125", , ,"93,9130434782609"
108,2017,109,1,1,1,0,1,7,94,"88,0322580645161", ,80,"87,969696969697"
109,2017,110,1,1,1,0,1,2,"90,4837545126354","91,4603174603175","86,4285714285714","84,125","90,7904411764706"
110,2017,110,1,1,1,0,1,5,"90,5840707964602","87,5546875",84,61,"88,780487804878"
111,2017,111,1,1,1,0,1,2,"88,4078431372549","90,2870813397129","74,625", ,"89,0063559322034"
112,2017,112,1,1,1,0,1,2,"93,1475409836066","92,9780701754386","85,7","79,5","92,8409506398537"
113,2017,113,1,1,1,0,1,2,"88,4772727272727","89,0239726027397","75,7619047619048","66,5","87,9361147327249"
114,2017,114,1,1,1,0,1,2,"90,4866071428571","90,9704433497537","71,9444444444444","57,5","89,6681514476615"
115,2017,116,1,1,1,0,1,2,"90,9243027888446","91,2488888888889","70,6666666666667","77,6666666666667","90,7855670103093"
116,2017,117,1,1,1,0,1,2,"93,877358490566","94,9274611398964", , ,"94,3777777777778"
117,2017,119,1,1,1,0,1,2,"92,7142857142857","92,626582278481","74,8333333333333","69,5","92,2513812154696"
118,2017,122,1,1,1,0,1,2,"90,0342465753425","89,231884057971","87,8333333333333",85,"89,5753424657534"
119,2017,123,1,1,1,0,1,2,"92,0205479452055","92,3908045977011","58,5",52,"91,4403669724771"
120,2017,123,1,1,1,0,1,3,"88,2","89,5555555555556",86,"85,6666666666667","88,1333333333333"
121,2017,123,1,1,1,0,1,6,"88,7272727272727","89,5384615384615","83,25",86,"88,679012345679"
122,2017,124,1,1,1,0,1,5,"89,8116438356164","88,1","68,8888888888889","69,7333333333333","87,612582781457"
123,2017,124,1,1,1,0,1,7,"90,7295081967213","87,3291139240506","83,8636363636364","87,625","89,4702549575071"
124,2017,124,1,1,1,0,1,7,"95,1071428571429","90,635593220339", ,79,"91,4081632653061"
125,2017,125,1,1,1,0,1,2,"90,4571428571429","91,062874251497","76,8571428571429","74,1666666666667","90,34100135318"
126,2017,125,1,1,1,0,1,5,"88,7613636363636","87,961038961039","80,1875","84,5","87,5945945945946"
127,2017,126,1,1,1,0,1,2,"86,8525896414343","87,772","66,88",71,"86,1104868913858"
128,2017,127,1,3,2,0,1,2,91,"93,3821656050955", ,90,"93,3730158730159"
129,2017,127,1,3,2,0,1,5, ,"92,736641221374", , ,"92,736641221374"
130,2017,129,1,3,2,0,1,2,"93,125","94,030303030303",85,"61,5","92,5147058823529"
131,2017,129,1,3,2,0,1,5,"91,1875","90,75","71,25", ,"88,975"
132,2017,130,1,3,2,0,1,2,"92,5779220779221","91,1052631578947","86,2857142857143",84,"91,7789855072464"
133,2017,130,1,3,2,0,1,5,"92,4772727272727","89,8571428571429",83,"80,75","90,6483516483517"
134,2017,131,1,3,2,0,1,2,"91,2857142857143","91,144578313253",87,"64,5","90,8707865168539"
135,2017,131,1,3,2,0,1,5,"92,6",91,"92,5", ,"91,8918918918919"
136,2017,132,1,3,2,0,1,2,"92,3980952380952","92,629702970297","79,6","91,5","92,4456207892204"
137,2017,132,1,3,2,0,1,5,"93,5960912052117","92,4148351648352",76,"90,25","92,8985294117647"
138,2017,133,1,3,2,0,1,2,"92,6468253968254","93,2672064777328","82,2","73,75","92,6968503937008"
139,2017,133,1,3,2,0,1,5,"94,3623188405797","91,2421052631579","95,6666666666667",96,"92,6309523809524"
140,2017,134,1,3,2,0,1,2,"92,1089108910891","92,5054945054945","83,1428571428571",88,"91,4884792626728"
141,2017,134,1,3,2,0,1,5,"91,2452830188679","90,4102564102564",77,79,"90,2577319587629"
142,2017,144,1,3,2,0,1,2,"92,1060606060606","93,0505050505051","71,6", ,"92,0677966101695"
143,2017,144,1,3,2,0,1,5,"90,8955223880597","91,7704918032787","34,5", ,"90,4384615384615"
144,2017,154,1,2,1,1,1,2,"93,75","90,8181818181818",94,92,"92,4"
145,2017,156,1,2,1,1,1,2,"88,5172413793103","89,304347826087", , ,"88,8653846153846"
146,2017,158,1,2,1,1,1,2, ,96, , ,96
147,2017,159,1,2,1,1,1,2,100,98, , ,"98,6666666666667"
148,2017,160,1,2,1,1,1,2,"95,2222222222222","92,4444444444444",35, ,"90,7368421052632"
149,2017,161,1,2,1,1,1,2,"92,7884615384615","92,1780821917808","79,6666666666667",86,"92,0486486486487"
150,2017,161,1,2,1,1,1,5,"89,7857142857143","91,6666666666667","55,6666666666667", ,"87,46875"
151,2017,161,1,2,1,1,1,7,"92,8888888888889","93,6",70, ,"92,1"
152,2017,162,1,2,1,1,1,2,"95,15","95,3333333333333",51, ,"94,1904761904762"
153,2017,165,1,2,1,1,1,2,100,"98,3333333333333", , ,99
154,2017,167,1,2,1,1,1,2,"94,8888888888889","96,5", ,95,"95,7654320987654"
155,2017,168,1,2,1,1,1,2,98,99, , ,"98,5"
156,2017,169,1,2,1,1,1,2,"95,7142857142857","95,5", , ,"95,6153846153846"
157,2017,170,1,2,1,1,1,2,"98,6666666666667",100, , ,"99,2"
158,2017,171,1,2,1,1,1,2,98,"96,6666666666667", , ,"97,3333333333333"
159,2017,172,1,2,1,1,1,2, , , , , 
160,2017,173,1,2,1,1,1,2,"98,375",93, ,90,"95,1052631578947"
161,2017,174,1,2,1,1,1,2,"99,2","97,375",98, ,"98,0714285714286"
162,2017,175,1,2,1,1,1,2, , , , , 
163,2017,177,1,2,1,1,1,2,"92,6666666666667",94, , ,"92,8571428571429"
164,2017,178,1,2,1,1,1,2,"91,4210526315789","92,5714285714286", , ,"92,025"
165,2017,178,1,2,1,1,1,5,"93,8888888888889","87,3636363636364", , ,"90,3"
166,2017,178,1,2,1,1,1,7,"91,6", , , ,"91,6"
167,2017,178,1,2,1,1,1,7,"94,5","92,1666666666667", , ,"92,75"
168,2017,179,1,2,1,1,1,2,100,99, , ,"99,5"
169,2017,185,1,2,1,1,1,2,90,"90,5", , ,"90,3333333333333"
170,2017,186,1,2,1,1,1,2, ,96, , ,96
171,2017,187,1,2,1,0,1,2,"90,5789473684211","90,7047619047619","92,6", ,"90,6748971193416"
172,2017,188,1,2,1,1,1,2,"89,5","90,2950819672131",90,69,"89,7080291970803"
173,2017,191,1,1,1,1,1,5,"91,1851851851852","89,2622950819672","86,5", ,"90,1025641025641"
174,2017,191,1,1,1,1,1,6,"72,9137931034483","72,6938775510204","39,7",41,"69,7372881355932"
175,2017,191,1,1,1,1,1,7,"88,5925925925926","87,4388489208633","70,125","78,3333333333333","86,4545454545455"
176,2017,191,1,1,1,1,1,7,"88,6788321167883","87,9807692307692","76,6666666666667","66,5","87,735"
177,2017,191,1,1,1,1,1,7,"91,4444444444444","90,9473684210526","80,6666666666667",85,"90,5842696629213"
178,2017,192,1,1,1,1,1,2,"92,8461538461538","92,1904761904762", , ,"92,4411764705882"
179,2017,193,1,1,1,1,1,2,"93,54","93,804979253112","72,75",63,"93,3782696177062"
180,2017,195,1,1,1,1,1,2,"91,0315789473684","92,9529411764706",84, ,"91,8087431693989"
181,2017,196,1,1,1,1,1,2,89,"89,8", , ,"89,5"
182,2017,198,1,1,1,1,1,2,"92,0243902439024","91,9714285714286",85,"86,5","91,7721518987342"
183,2017,199,2,2,1,0,1,3,"86,5714285714286","87,3636363636364","32,6666666666667",32,"76,3548387096774"
184,2017,199,2,2,1,0,1,5,"90,6763005780347","89,7351351351351","75,8","72,8666666666667","88,7964376590331"
185,2017,199,2,2,1,0,1,6,"87,0845070422535","82,5512820512821","66,6666666666667","67,3333333333333","83,6962025316456"
186,2017,200,2,2,1,0,1,7,"92,55","94,1111111111111","77,2","90,2","92,6694214876033"
187,2017,200,2,2,1,0,1,7,"94,3489361702128","92,6981132075472","83,625","78,3333333333333","92,066091954023"
188,2017,200,2,2,1,0,1,7, ,"93,25", ,"79,5","91,4166666666667"
189,2017,201,2,2,1,0,1,2,"94,5702479338843","94,8373205741627","94,2222222222222",83,"94,5096359743041"
190,2017,203,2,2,1,0,1,2,"90,8455882352941","91,1462450592885","64,8333333333333", ,"90,6949152542373"
191,2017,204,2,2,1,0,1,2,"91,4692737430168","90,8715083798883",88,"86,5","91,0349462365591"
192,2017,205,2,2,1,0,1,2,"88,0588235294118","88,821052631579","69,7058823529412","68,0833333333333","87,1340909090909"
